=== MATCH SCHEDULE FOR SATURDAY ===
05:00 PM - 05:30 PM | CXD49  | Court 14
05:00 PM - 05:30 PM | CXD50  | Court 1
05:00 PM - 05:30 PM | CXD51  | Court 2
05:00 PM - 05:30 PM | CXD52  | Court 3
05:00 PM - 05:30 PM | CXD53  | Court 4
05:00 PM - 05:30 PM | CXD54  | Court 5
05:00 PM - 05:30 PM | CXD55  | Court 6
05:00 PM - 05:30 PM | CXD56  | Court 7
05:00 PM - 05:30 PM | AXD4   | Court 8
05:00 PM - 05:30 PM | AXD5   | Court 9
05:00 PM - 05:30 PM | AMS2   | Court 10
05:30 PM - 06:00 PM | AMS3   | Court 1
05:30 PM - 06:00 PM | AMS4   | Court 2
05:30 PM - 06:00 PM | AMS5   | Court 3
05:30 PM - 06:00 PM | AMS6   | Court 4
05:30 PM - 06:00 PM | AMS7   | Court 5
05:30 PM - 06:00 PM | AMS8   | Court 6
05:30 PM - 06:00 PM | DXD49  | Court 15
05:30 PM - 06:00 PM | DXD50  | Court 16
05:30 PM - 06:00 PM | DXD51  | Court 17
05:30 PM - 06:00 PM | DXD52  | Court 17
05:30 PM - 06:00 PM | DXD53  | Court 11
05:30 PM - 06:00 PM | DXD54  | Court 12
05:30 PM - 06:00 PM | DXD55  | Court 13
05:30 PM - 06:00 PM | DXD56  | Court 14
05:30 PM - 06:00 PM | BXD17  | Court 7
05:30 PM - 06:00 PM | BXD18  | Court 8
05:30 PM - 06:00 PM | BXD19  | Court 9
05:30 PM - 06:00 PM | BXD20  | Court 10
06:00 PM - 06:30 PM | BXD21  | Court 11
06:00 PM - 06:30 PM | BXD22  | Court 12
06:00 PM - 06:30 PM | BXD23  | Court 13
06:00 PM - 06:30 PM | BXD24  | Court 14
06:00 PM - 06:30 PM | BWS2   | Court 1
06:00 PM - 06:30 PM | BWS3   | Court 2
06:00 PM - 06:10 PM | CMS144 | Court 15
06:00 PM - 06:10 PM | CMS175 | Court 16
06:00 PM - 06:30 PM | AWS2   | Court 3
06:00 PM - 06:10 PM | DMS141 | Court 17
06:00 PM - 06:10 PM | DMS142 | Court 17
